,Section,Paragraph,algo_score_raw
0,abstract,0,2
1,abstract,0,2
2,abstract,0,2
3,abstract,0,2
4,abstract,0,2
5,abstract,0,2
6,abstract,0,2
7,abstract,0,2
8,abstract,0,2
9,abstract,0,2
10,abstract,0,2
11,abstract,0,2
12,introduction,0,0
13,introduction,1,3
14,introduction,2,0
15,introduction,3,0
16,introduction,4,0
17,introduction,5,2
18,introduction,6,0
19,introduction,7,0
20,introduction,8,2
21,introduction,9,3
22,introduction,10,0
23,introduction,11,2
24,research_framework,0,2
25,research_framework,1,0
26,research_framework,2,1
27,research_framework,3,0
28,research_framework,4,0
29,research_framework,5,0
30,research_framework,6,1
31,research_framework,0,2
32,research_framework,1,0
33,research_framework,2,1
34,research_framework,3,0
35,research_framework,4,0
36,reflection,0,2
37,reflection,0,2
38,reflection,0,2
39,reflection,0,2
40,reflection,0,2
41,reflection,0,2
42,reflection,0,2
43,reflection,0,2
44,reflection,0,2
45,reflection,0,2
46,reflection,0,2
47,reflection,0,2
48,conclusion,0,4
49,conclusion,0,4
50,conclusion,0,4
51,conclusion,0,4
52,conclusion,0,4
53,conclusion,0,4
54,conclusion,0,4
55,conclusion,0,4
56,conclusion,0,4
57,conclusion,0,4
58,conclusion,0,4
59,conclusion,0,4
