,Section,Paragraph,algo_score_raw
0,abstract,0,3
1,abstract,0,3
2,abstract,0,3
3,abstract,0,3
4,abstract,0,3
5,abstract,0,3
6,abstract,0,3
7,abstract,0,3
8,abstract,0,3
9,abstract,0,3
10,abstract,0,3
11,abstract,0,3
12,introduction,0,1
13,introduction,1,1
14,introduction,2,0
15,introduction,3,1
16,introduction,4,0
17,introduction,5,0
18,introduction,6,0
19,introduction,7,0
20,introduction,8,0
21,introduction,9,1
22,introduction,10,0
23,introduction,11,1
24,research_framework,0,0
25,research_framework,1,0
26,research_framework,2,1
27,research_framework,3,2
28,research_framework,4,2
29,research_framework,5,0
30,research_framework,6,2
31,research_framework,0,0
32,research_framework,1,0
33,research_framework,2,1
34,research_framework,3,2
35,research_framework,4,2
36,reflection,0,0
37,reflection,0,0
38,reflection,0,0
39,reflection,0,0
40,reflection,0,0
41,reflection,0,0
42,reflection,0,0
43,reflection,0,0
44,reflection,0,0
45,reflection,0,0
46,reflection,0,0
47,reflection,0,0
48,conclusion,0,0
49,conclusion,0,0
50,conclusion,0,0
51,conclusion,0,0
52,conclusion,0,0
53,conclusion,0,0
54,conclusion,0,0
55,conclusion,0,0
56,conclusion,0,0
57,conclusion,0,0
58,conclusion,0,0
59,conclusion,0,0
