,Section,Paragraph,algo_score_raw
0,abstract,0,5
1,abstract,0,5
2,abstract,0,5
3,abstract,0,5
4,abstract,0,5
5,abstract,0,5
6,abstract,0,5
7,abstract,0,5
8,abstract,0,5
9,abstract,0,5
10,abstract,0,5
11,abstract,0,5
12,introduction,0,2
13,introduction,1,7
14,introduction,2,1
15,introduction,3,2
16,introduction,4,0
17,introduction,5,7
18,introduction,6,3
19,introduction,7,1
20,introduction,8,18
21,introduction,9,14
22,introduction,10,3
23,introduction,11,5
24,research_framework,0,7
25,research_framework,1,10
26,research_framework,2,2
27,research_framework,3,0
28,research_framework,4,1
29,research_framework,5,4
30,research_framework,6,7
31,research_framework,0,7
32,research_framework,1,10
33,research_framework,2,2
34,research_framework,3,0
35,research_framework,4,1
36,reflection,0,6
37,reflection,0,6
38,reflection,0,6
39,reflection,0,6
40,reflection,0,6
41,reflection,0,6
42,reflection,0,6
43,reflection,0,6
44,reflection,0,6
45,reflection,0,6
46,reflection,0,6
47,reflection,0,6
48,conclusion,0,4
49,conclusion,0,4
50,conclusion,0,4
51,conclusion,0,4
52,conclusion,0,4
53,conclusion,0,4
54,conclusion,0,4
55,conclusion,0,4
56,conclusion,0,4
57,conclusion,0,4
58,conclusion,0,4
59,conclusion,0,4
