,Section,Paragraph,algo_score_raw
0,abstract,0,0
1,abstract,0,0
2,abstract,0,0
3,abstract,0,0
4,abstract,0,0
5,abstract,0,0
6,abstract,0,0
7,abstract,0,0
8,abstract,0,0
9,abstract,0,0
10,abstract,0,0
11,abstract,0,0
12,introduction,0,0
13,introduction,1,1
14,introduction,2,0
15,introduction,3,0
16,introduction,4,0
17,introduction,5,0
18,introduction,6,0
19,introduction,7,0
20,introduction,8,0
21,introduction,9,0
22,introduction,10,0
23,introduction,11,0
24,research_framework,0,0
25,research_framework,1,0
26,research_framework,2,0
27,research_framework,3,0
28,research_framework,4,0
29,research_framework,5,0
30,research_framework,6,0
31,research_framework,0,0
32,research_framework,1,0
33,research_framework,2,0
34,research_framework,3,0
35,research_framework,4,0
36,reflection,0,1
37,reflection,0,1
38,reflection,0,1
39,reflection,0,1
40,reflection,0,1
41,reflection,0,1
42,reflection,0,1
43,reflection,0,1
44,reflection,0,1
45,reflection,0,1
46,reflection,0,1
47,reflection,0,1
48,conclusion,0,0
49,conclusion,0,0
50,conclusion,0,0
51,conclusion,0,0
52,conclusion,0,0
53,conclusion,0,0
54,conclusion,0,0
55,conclusion,0,0
56,conclusion,0,0
57,conclusion,0,0
58,conclusion,0,0
59,conclusion,0,0
