,Section,Paragraph,algo_score_raw
0,abstract,0,0
1,abstract,0,0
2,abstract,0,0
3,abstract,0,0
4,abstract,0,0
5,abstract,0,0
6,abstract,0,0
7,abstract,0,0
8,abstract,0,0
9,abstract,0,0
10,abstract,0,0
11,abstract,0,0
12,abstract,0,0
13,abstract,0,0
14,abstract,0,0
15,abstract,0,0
16,abstract,0,0
17,introduction,0,0
18,introduction,1,0
19,introduction,2,2
20,introduction,0,0
21,introduction,1,0
22,introduction,2,2
23,introduction,0,0
24,introduction,1,0
25,introduction,2,2
26,introduction,0,0
27,introduction,1,0
28,introduction,2,2
29,introduction,0,0
30,introduction,1,0
31,introduction,2,2
32,introduction,0,0
33,introduction,1,0
34,related_work,0,0
35,related_work,1,0
36,related_work,2,1
37,related_work,3,1
38,related_work,4,0
39,related_work,5,0
40,related_work,6,0
41,related_work,7,0
42,related_work,8,0
43,related_work,9,0
44,related_work,10,0
45,related_work,11,0
46,related_work,0,0
47,related_work,1,0
48,related_work,2,1
49,related_work,3,1
50,related_work,4,0
51,experimental_setup,0,0
52,experimental_setup,1,0
53,experimental_setup,2,0
54,experimental_setup,3,0
55,experimental_setup,4,0
56,experimental_setup,5,0
57,experimental_setup,6,0
58,experimental_setup,7,0
59,experimental_setup,8,1
60,experimental_setup,9,0
61,experimental_setup,10,0
62,experimental_setup,11,0
63,experimental_setup,12,0
64,experimental_setup,13,0
65,experimental_setup,14,0
66,experimental_setup,15,0
67,experimental_setup,0,0
68,results,0,0
69,results,1,0
70,results,2,0
71,results,3,0
72,results,4,0
73,results,5,0
74,results,6,0
75,results,7,0
76,results,8,0
77,results,9,1
78,results,10,0
79,results,11,0
80,results,12,0
81,results,13,0
82,results,14,0
83,results,15,0
84,results,16,0
85,discussion,0,1
86,discussion,1,0
87,discussion,2,1
88,discussion,3,0
89,discussion,4,0
90,discussion,0,1
91,discussion,1,0
92,discussion,2,1
93,discussion,3,0
94,discussion,4,0
95,discussion,0,1
96,discussion,1,0
97,discussion,2,1
98,discussion,3,0
99,discussion,4,0
100,discussion,0,1
101,discussion,1,0
102,limitations,0,0
103,limitations,1,0
104,limitations,2,0
105,limitations,3,0
106,limitations,0,0
107,limitations,1,0
108,limitations,2,0
109,limitations,3,0
110,limitations,0,0
111,limitations,1,0
112,limitations,2,0
113,limitations,3,0
114,limitations,0,0
115,limitations,1,0
116,limitations,2,0
117,limitations,3,0
118,limitations,0,0
119,summary,0,0
120,summary,1,0
121,summary,2,0
122,summary,3,0
123,summary,4,0
124,summary,5,0
125,summary,6,0
126,summary,0,0
127,summary,1,0
128,summary,2,0
129,summary,3,0
130,summary,4,0
131,summary,5,0
132,summary,6,0
133,summary,0,0
134,summary,1,0
135,summary,2,0
136,conclusion,0,1
137,conclusion,1,0
138,conclusion,2,0
139,conclusion,3,0
140,conclusion,0,1
141,conclusion,1,0
142,conclusion,2,0
143,conclusion,3,0
144,conclusion,0,1
145,conclusion,1,0
146,conclusion,2,0
147,conclusion,3,0
148,conclusion,0,1
149,conclusion,1,0
150,conclusion,2,0
151,conclusion,3,0
152,conclusion,0,1
