,Section,Paragraph,algo_score_raw
0,abstract,0,1
1,abstract,0,1
2,abstract,0,1
3,abstract,0,1
4,abstract,0,1
5,abstract,0,1
6,abstract,0,1
7,abstract,0,1
8,abstract,0,1
9,abstract,0,1
10,abstract,0,1
11,abstract,0,1
12,abstract,0,1
13,abstract,0,1
14,abstract,0,1
15,abstract,0,1
16,abstract,0,1
17,introduction,0,0
18,introduction,1,0
19,introduction,2,0
20,introduction,0,0
21,introduction,1,0
22,introduction,2,0
23,introduction,0,0
24,introduction,1,0
25,introduction,2,0
26,introduction,0,0
27,introduction,1,0
28,introduction,2,0
29,introduction,0,0
30,introduction,1,0
31,introduction,2,0
32,introduction,0,0
33,introduction,1,0
34,related_work,0,0
35,related_work,1,0
36,related_work,2,0
37,related_work,3,0
38,related_work,4,0
39,related_work,5,0
40,related_work,6,0
41,related_work,7,0
42,related_work,8,0
43,related_work,9,0
44,related_work,10,0
45,related_work,11,0
46,related_work,0,0
47,related_work,1,0
48,related_work,2,0
49,related_work,3,0
50,related_work,4,0
51,experimental_setup,0,0
52,experimental_setup,1,0
53,experimental_setup,2,0
54,experimental_setup,3,0
55,experimental_setup,4,0
56,experimental_setup,5,0
57,experimental_setup,6,0
58,experimental_setup,7,0
59,experimental_setup,8,0
60,experimental_setup,9,0
61,experimental_setup,10,1
62,experimental_setup,11,2
63,experimental_setup,12,0
64,experimental_setup,13,0
65,experimental_setup,14,0
66,experimental_setup,15,0
67,experimental_setup,0,0
68,results,0,0
69,results,1,1
70,results,2,0
71,results,3,0
72,results,4,0
73,results,5,0
74,results,6,0
75,results,7,0
76,results,8,0
77,results,9,0
78,results,10,0
79,results,11,0
80,results,12,0
81,results,13,0
82,results,14,0
83,results,15,0
84,results,16,0
85,discussion,0,0
86,discussion,1,3
87,discussion,2,0
88,discussion,3,0
89,discussion,4,1
90,discussion,0,0
91,discussion,1,3
92,discussion,2,0
93,discussion,3,0
94,discussion,4,1
95,discussion,0,0
96,discussion,1,3
97,discussion,2,0
98,discussion,3,0
99,discussion,4,1
100,discussion,0,0
101,discussion,1,3
102,limitations,0,1
103,limitations,1,0
104,limitations,2,0
105,limitations,3,0
106,limitations,0,1
107,limitations,1,0
108,limitations,2,0
109,limitations,3,0
110,limitations,0,1
111,limitations,1,0
112,limitations,2,0
113,limitations,3,0
114,limitations,0,1
115,limitations,1,0
116,limitations,2,0
117,limitations,3,0
118,limitations,0,1
119,summary,0,0
120,summary,1,0
121,summary,2,0
122,summary,3,0
123,summary,4,0
124,summary,5,0
125,summary,6,0
126,summary,0,0
127,summary,1,0
128,summary,2,0
129,summary,3,0
130,summary,4,0
131,summary,5,0
132,summary,6,0
133,summary,0,0
134,summary,1,0
135,summary,2,0
136,conclusion,0,0
137,conclusion,1,0
138,conclusion,2,0
139,conclusion,3,0
140,conclusion,0,0
141,conclusion,1,0
142,conclusion,2,0
143,conclusion,3,0
144,conclusion,0,0
145,conclusion,1,0
146,conclusion,2,0
147,conclusion,3,0
148,conclusion,0,0
149,conclusion,1,0
150,conclusion,2,0
151,conclusion,3,0
152,conclusion,0,0
