,Section,Paragraph,algo_score_raw
0,abstract,0,4
1,abstract,0,4
2,abstract,0,4
3,abstract,0,4
4,abstract,0,4
5,abstract,0,4
6,abstract,0,4
7,abstract,0,4
8,abstract,0,4
9,abstract,0,4
10,abstract,0,4
11,abstract,0,4
12,abstract,0,4
13,abstract,0,4
14,abstract,0,4
15,abstract,0,4
16,abstract,0,4
17,abstract,0,4
18,abstract,0,4
19,abstract,0,4
20,abstract,0,4
21,introduction,0,0
22,introduction,1,3
23,introduction,2,3
24,introduction,3,0
25,introduction,0,0
26,introduction,1,3
27,introduction,2,3
28,introduction,3,0
29,introduction,0,0
30,introduction,1,3
31,introduction,2,3
32,introduction,3,0
33,introduction,0,0
34,introduction,1,3
35,introduction,2,3
36,introduction,3,0
37,introduction,0,0
38,introduction,1,3
39,introduction,2,3
40,introduction,3,0
41,introduction,0,0
42,terms_of_reference,0,1
43,terms_of_reference,1,0
44,terms_of_reference,2,1
45,terms_of_reference,3,0
46,terms_of_reference,4,0
47,terms_of_reference,5,0
48,terms_of_reference,6,0
49,terms_of_reference,7,0
50,terms_of_reference,8,0
51,terms_of_reference,9,0
52,terms_of_reference,10,1
53,terms_of_reference,11,0
54,terms_of_reference,12,5
55,terms_of_reference,13,2
56,terms_of_reference,14,0
57,terms_of_reference,15,1
58,terms_of_reference,16,2
59,terms_of_reference,17,5
60,terms_of_reference,18,0
61,terms_of_reference,19,3
62,terms_of_reference,20,3
63,joining_the_dots,0,0
64,joining_the_dots,1,1
65,joining_the_dots,2,0
66,joining_the_dots,3,3
67,joining_the_dots,4,3
68,joining_the_dots,5,0
69,joining_the_dots,6,1
70,joining_the_dots,7,1
71,joining_the_dots,8,1
72,joining_the_dots,9,2
73,joining_the_dots,10,1
74,joining_the_dots,0,0
75,joining_the_dots,1,1
76,joining_the_dots,2,0
77,joining_the_dots,3,3
78,joining_the_dots,4,3
79,joining_the_dots,5,0
80,joining_the_dots,6,1
81,joining_the_dots,7,1
82,joining_the_dots,8,1
83,joining_the_dots,9,2
84,coloring_between_the_dots,0,0
85,coloring_between_the_dots,1,6
86,coloring_between_the_dots,2,1
87,coloring_between_the_dots,3,1
88,coloring_between_the_dots,4,0
89,coloring_between_the_dots,5,1
90,coloring_between_the_dots,6,4
91,coloring_between_the_dots,7,1
92,coloring_between_the_dots,8,1
93,coloring_between_the_dots,9,3
94,coloring_between_the_dots,10,0
95,coloring_between_the_dots,0,0
96,coloring_between_the_dots,1,6
97,coloring_between_the_dots,2,1
98,coloring_between_the_dots,3,1
99,coloring_between_the_dots,4,0
100,coloring_between_the_dots,5,1
101,coloring_between_the_dots,6,4
102,coloring_between_the_dots,7,1
103,coloring_between_the_dots,8,1
104,coloring_between_the_dots,9,3
105,conclusion,0,1
106,conclusion,1,1
107,conclusion,2,0
108,conclusion,3,1
109,conclusion,0,1
110,conclusion,1,1
111,conclusion,2,0
112,conclusion,3,1
113,conclusion,0,1
114,conclusion,1,1
115,conclusion,2,0
116,conclusion,3,1
117,conclusion,0,1
118,conclusion,1,1
119,conclusion,2,0
120,conclusion,3,1
121,conclusion,0,1
122,conclusion,1,1
123,conclusion,2,0
124,conclusion,3,1
125,conclusion,0,1
