,Section,Paragraph,algo_score_raw
0,abstract,0,3
1,abstract,0,3
2,abstract,0,3
3,abstract,0,3
4,abstract,0,3
5,abstract,0,3
6,abstract,0,3
7,abstract,0,3
8,abstract,0,3
9,abstract,0,3
10,abstract,0,3
11,abstract,0,3
12,abstract,0,3
13,abstract,0,3
14,abstract,0,3
15,abstract,0,3
16,abstract,0,3
17,abstract,0,3
18,abstract,0,3
19,abstract,0,3
20,abstract,0,3
21,introduction,0,0
22,introduction,1,5
23,introduction,2,3
24,introduction,3,4
25,introduction,0,0
26,introduction,1,5
27,introduction,2,3
28,introduction,3,4
29,introduction,0,0
30,introduction,1,5
31,introduction,2,3
32,introduction,3,4
33,introduction,0,0
34,introduction,1,5
35,introduction,2,3
36,introduction,3,4
37,introduction,0,0
38,introduction,1,5
39,introduction,2,3
40,introduction,3,4
41,introduction,0,0
42,terms_of_reference,0,1
43,terms_of_reference,1,0
44,terms_of_reference,2,1
45,terms_of_reference,3,1
46,terms_of_reference,4,3
47,terms_of_reference,5,4
48,terms_of_reference,6,8
49,terms_of_reference,7,2
50,terms_of_reference,8,2
51,terms_of_reference,9,4
52,terms_of_reference,10,0
53,terms_of_reference,11,0
54,terms_of_reference,12,0
55,terms_of_reference,13,0
56,terms_of_reference,14,0
57,terms_of_reference,15,0
58,terms_of_reference,16,0
59,terms_of_reference,17,1
60,terms_of_reference,18,0
61,terms_of_reference,19,0
62,terms_of_reference,20,0
63,joining_the_dots,0,2
64,joining_the_dots,1,1
65,joining_the_dots,2,3
66,joining_the_dots,3,2
67,joining_the_dots,4,0
68,joining_the_dots,5,1
69,joining_the_dots,6,1
70,joining_the_dots,7,2
71,joining_the_dots,8,1
72,joining_the_dots,9,1
73,joining_the_dots,10,2
74,joining_the_dots,0,2
75,joining_the_dots,1,1
76,joining_the_dots,2,3
77,joining_the_dots,3,2
78,joining_the_dots,4,0
79,joining_the_dots,5,1
80,joining_the_dots,6,1
81,joining_the_dots,7,2
82,joining_the_dots,8,1
83,joining_the_dots,9,1
84,coloring_between_the_dots,0,3
85,coloring_between_the_dots,1,5
86,coloring_between_the_dots,2,2
87,coloring_between_the_dots,3,1
88,coloring_between_the_dots,4,3
89,coloring_between_the_dots,5,0
90,coloring_between_the_dots,6,3
91,coloring_between_the_dots,7,1
92,coloring_between_the_dots,8,1
93,coloring_between_the_dots,9,4
94,coloring_between_the_dots,10,1
95,coloring_between_the_dots,0,3
96,coloring_between_the_dots,1,5
97,coloring_between_the_dots,2,2
98,coloring_between_the_dots,3,1
99,coloring_between_the_dots,4,3
100,coloring_between_the_dots,5,0
101,coloring_between_the_dots,6,3
102,coloring_between_the_dots,7,1
103,coloring_between_the_dots,8,1
104,coloring_between_the_dots,9,4
105,conclusion,0,2
106,conclusion,1,4
107,conclusion,2,1
108,conclusion,3,1
109,conclusion,0,2
110,conclusion,1,4
111,conclusion,2,1
112,conclusion,3,1
113,conclusion,0,2
114,conclusion,1,4
115,conclusion,2,1
116,conclusion,3,1
117,conclusion,0,2
118,conclusion,1,4
119,conclusion,2,1
120,conclusion,3,1
121,conclusion,0,2
122,conclusion,1,4
123,conclusion,2,1
124,conclusion,3,1
125,conclusion,0,2
