,Section,Paragraph,algo_score_raw
0,abstract,0,0
1,abstract,1,0
2,abstract,0,0
3,abstract,1,0
4,abstract,0,0
5,abstract,1,0
6,abstract,0,0
7,abstract,1,0
8,abstract,0,0
9,abstract,1,0
10,abstract,0,0
11,abstract,1,0
12,abstract,0,0
13,abstract,1,0
14,abstract,0,0
15,abstract,1,0
16,abstract,0,0
17,abstract,1,0
18,abstract,0,0
19,abstract,1,0
20,abstract,0,0
21,abstract,1,0
22,abstract,0,0
23,abstract,1,0
24,abstract,0,0
25,abstract,1,0
26,abstract,0,0
27,abstract,1,0
28,abstract,0,0
29,abstract,1,0
30,abstract,0,0
31,abstract,1,0
32,abstract,0,0
33,abstract,1,0
34,abstract,0,0
35,abstract,1,0
36,abstract,0,0
37,abstract,1,0
38,abstract,0,0
39,abstract,1,0
40,abstract,0,0
41,abstract,1,0
42,abstract,0,0
43,abstract,1,0
44,abstract,0,0
45,abstract,1,0
46,abstract,0,0
47,abstract,1,0
48,abstract,0,0
49,abstract,1,0
50,abstract,0,0
51,abstract,1,0
52,abstract,0,0
53,abstract,1,0
54,abstract,0,0
55,abstract,1,0
56,abstract,0,0
57,abstract,1,0
58,introduction,0,0
59,introduction,1,0
60,introduction,2,0
61,introduction,3,0
62,introduction,4,1
63,introduction,5,0
64,introduction,6,0
65,introduction,7,1
66,introduction,0,0
67,introduction,1,0
68,introduction,2,0
69,introduction,3,0
70,introduction,4,1
71,introduction,5,0
72,introduction,6,0
73,introduction,7,1
74,introduction,0,0
75,introduction,1,0
76,introduction,2,0
77,introduction,3,0
78,introduction,4,1
79,introduction,5,0
80,introduction,6,0
81,introduction,7,1
82,introduction,0,0
83,introduction,1,0
84,introduction,2,0
85,introduction,3,0
86,introduction,4,1
87,introduction,5,0
88,introduction,6,0
89,introduction,7,1
90,introduction,0,0
91,introduction,1,0
92,introduction,2,0
93,introduction,3,0
94,introduction,4,1
95,introduction,5,0
96,introduction,6,0
97,introduction,7,1
98,introduction,0,0
99,introduction,1,0
