,Section,Paragraph,algo_score_raw
0,abstract,0,10
1,abstract,1,1
2,abstract,0,10
3,abstract,1,1
4,abstract,0,10
5,abstract,1,1
6,abstract,0,10
7,abstract,1,1
8,abstract,0,10
9,abstract,1,1
10,abstract,0,10
11,abstract,1,1
12,abstract,0,10
13,abstract,1,1
14,abstract,0,10
15,abstract,1,1
16,abstract,0,10
17,abstract,1,1
18,abstract,0,10
19,abstract,1,1
20,abstract,0,10
21,abstract,1,1
22,abstract,0,10
23,abstract,1,1
24,abstract,0,10
25,abstract,1,1
26,abstract,0,10
27,abstract,1,1
28,abstract,0,10
29,abstract,1,1
30,abstract,0,10
31,abstract,1,1
32,abstract,0,10
33,abstract,1,1
34,abstract,0,10
35,abstract,1,1
36,abstract,0,10
37,abstract,1,1
38,abstract,0,10
39,abstract,1,1
40,abstract,0,10
41,abstract,1,1
42,abstract,0,10
43,abstract,1,1
44,abstract,0,10
45,abstract,1,1
46,abstract,0,10
47,abstract,1,1
48,abstract,0,10
49,abstract,1,1
50,abstract,0,10
51,abstract,1,1
52,abstract,0,10
53,abstract,1,1
54,abstract,0,10
55,abstract,1,1
56,abstract,0,10
57,abstract,1,1
58,introduction,0,0
59,introduction,1,2
60,introduction,2,7
61,introduction,3,3
62,introduction,4,10
63,introduction,5,2
64,introduction,6,0
65,introduction,7,13
66,introduction,0,0
67,introduction,1,2
68,introduction,2,7
69,introduction,3,3
70,introduction,4,10
71,introduction,5,2
72,introduction,6,0
73,introduction,7,13
74,introduction,0,0
75,introduction,1,2
76,introduction,2,7
77,introduction,3,3
78,introduction,4,10
79,introduction,5,2
80,introduction,6,0
81,introduction,7,13
82,introduction,0,0
83,introduction,1,2
84,introduction,2,7
85,introduction,3,3
86,introduction,4,10
87,introduction,5,2
88,introduction,6,0
89,introduction,7,13
90,introduction,0,0
91,introduction,1,2
92,introduction,2,7
93,introduction,3,3
94,introduction,4,10
95,introduction,5,2
96,introduction,6,0
97,introduction,7,13
98,introduction,0,0
99,introduction,1,2
100,introduction,2,7
101,introduction,3,3
102,introduction,4,10
103,introduction,5,2
104,introduction,6,0
105,introduction,7,13
106,introduction,0,0
107,introduction,1,2
108,introduction,2,7
109,introduction,3,3
110,introduction,4,10
111,introduction,5,2
112,introduction,6,0
113,introduction,7,13
114,introduction,0,0
115,introduction,1,2
116,related work,0,9
117,related work,1,10
118,related work,2,9
119,related work,3,19
120,related work,0,9
121,related work,1,10
122,related work,2,9
123,related work,3,19
124,related work,0,9
125,related work,1,10
126,related work,2,9
127,related work,3,19
128,related work,0,9
129,related work,1,10
130,related work,2,9
131,related work,3,19
132,related work,0,9
133,related work,1,10
134,related work,2,9
135,related work,3,19
136,related work,0,9
137,related work,1,10
138,related work,2,9
139,related work,3,19
140,related work,0,9
141,related work,1,10
142,related work,2,9
143,related work,3,19
144,related work,0,9
145,related work,1,10
146,related work,2,9
147,related work,3,19
148,related work,0,9
149,related work,1,10
150,related work,2,9
151,related work,3,19
152,related work,0,9
153,related work,1,10
154,related work,2,9
155,related work,3,19
156,related work,0,9
157,related work,1,10
158,related work,2,9
159,related work,3,19
160,related work,0,9
161,related work,1,10
162,related work,2,9
163,related work,3,19
164,related work,0,9
165,related work,1,10
166,related work,2,9
167,related work,3,19
168,related work,0,9
169,related work,1,10
170,related work,2,9
171,related work,3,19
172,related work,0,9
173,related work,1,10
174,background,0,0
175,background,1,6
176,background,2,5
177,background,3,9
178,background,4,0
179,background,5,2
180,background,6,2
181,background,0,0
182,background,1,6
183,background,2,5
184,background,3,9
185,background,4,0
186,background,5,2
187,background,6,2
188,background,0,0
189,background,1,6
190,background,2,5
191,background,3,9
192,background,4,0
193,background,5,2
194,background,6,2
195,background,0,0
196,background,1,6
197,background,2,5
198,background,3,9
199,background,4,0
200,background,5,2
201,background,6,2
202,background,0,0
203,background,1,6
204,background,2,5
205,background,3,9
206,background,4,0
207,background,5,2
208,background,6,2
209,background,0,0
210,background,1,6
211,background,2,5
212,background,3,9
213,background,4,0
214,background,5,2
215,background,6,2
216,background,0,0
217,background,1,6
218,background,2,5
219,background,3,9
220,background,4,0
221,background,5,2
222,background,6,2
223,background,0,0
224,background,1,6
225,background,2,5
226,background,3,9
227,background,4,0
228,background,5,2
229,background,6,2
230,background,0,0
231,background,1,6
232,method,0,2
233,method,1,5
234,method,2,4
235,method,3,4
236,method,4,2
237,method,5,8
238,method,6,2
239,method,0,2
240,method,1,5
241,method,2,4
242,method,3,4
243,method,4,2
244,method,5,8
