,Section,Paragraph,algo_score_raw
0,abstract,0,3
1,abstract,0,3
2,abstract,0,3
3,abstract,0,3
4,abstract,0,3
5,abstract,0,3
6,abstract,0,3
7,abstract,0,3
8,abstract,0,3
9,abstract,0,3
10,abstract,0,3
11,abstract,0,3
12,abstract,0,3
13,abstract,0,3
14,abstract,0,3
15,abstract,0,3
16,abstract,0,3
17,abstract,0,3
18,abstract,0,3
19,abstract,0,3
20,abstract,0,3
21,abstract,0,3
22,abstract,0,3
23,abstract,0,3
24,abstract,0,3
25,abstract,0,3
26,abstract,0,3
27,abstract,0,3
28,abstract,0,3
29,abstract,0,3
30,abstract,0,3
31,abstract,0,3
32,abstract,0,3
33,abstract,0,3
34,abstract,0,3
35,abstract,0,3
36,abstract,0,3
37,abstract,0,3
38,abstract,0,3
39,abstract,0,3
40,abstract,0,3
41,abstract,0,3
42,abstract,0,3
43,abstract,0,3
44,abstract,0,3
45,abstract,0,3
46,introduction,0,0
47,introduction,1,1
48,introduction,2,1
49,introduction,3,0
50,introduction,4,1
51,introduction,0,0
52,introduction,1,1
53,introduction,2,1
54,introduction,3,0
55,introduction,4,1
56,introduction,0,0
57,introduction,1,1
58,introduction,2,1
59,introduction,3,0
60,introduction,4,1
61,introduction,0,0
62,introduction,1,1
63,introduction,2,1
64,introduction,3,0
65,introduction,4,1
66,introduction,0,0
67,introduction,1,1
68,introduction,2,1
69,introduction,3,0
70,introduction,4,1
71,introduction,0,0
72,introduction,1,1
73,introduction,2,1
74,introduction,3,0
75,introduction,4,1
76,introduction,0,0
77,introduction,1,1
78,introduction,2,1
79,introduction,3,0
80,introduction,4,1
81,introduction,0,0
82,introduction,1,1
83,introduction,2,1
84,introduction,3,0
85,introduction,4,1
86,introduction,0,0
87,introduction,1,1
88,introduction,2,1
89,introduction,3,0
90,introduction,4,1
91,introduction,0,0
92,related_work,0,0
93,related_work,1,0
94,related_work,2,0
95,related_work,3,0
96,related_work,0,0
97,related_work,1,0
98,related_work,2,0
99,related_work,3,0
100,related_work,0,0
101,related_work,1,0
102,related_work,2,0
103,related_work,3,0
104,related_work,0,0
105,related_work,1,0
106,related_work,2,0
107,related_work,3,0
108,related_work,0,0
109,related_work,1,0
110,related_work,2,0
111,related_work,3,0
112,related_work,0,0
113,related_work,1,0
114,related_work,2,0
115,related_work,3,0
116,related_work,0,0
117,related_work,1,0
118,related_work,2,0
119,related_work,3,0
120,related_work,0,0
121,related_work,1,0
122,related_work,2,0
123,related_work,3,0
124,related_work,0,0
125,related_work,1,0
126,related_work,2,0
127,related_work,3,0
128,related_work,0,0
129,related_work,1,0
130,related_work,2,0
131,related_work,3,0
132,related_work,0,0
133,related_work,1,0
134,related_work,2,0
135,related_work,3,0
136,related_work,0,0
137,related_work,1,0
138,background,0,0
139,background,1,1
140,background,2,0
141,background,3,0
142,background,4,0
143,background,5,0
144,background,0,0
145,background,1,1
146,background,2,0
147,background,3,0
148,background,4,0
149,background,5,0
150,background,0,0
151,background,1,1
152,background,2,0
153,background,3,0
154,background,4,0
155,background,5,0
156,background,0,0
157,background,1,1
158,background,2,0
159,background,3,0
160,background,4,0
161,background,5,0
162,background,0,0
163,background,1,1
164,background,2,0
165,background,3,0
166,background,4,0
167,background,5,0
168,background,0,0
169,background,1,1
170,background,2,0
171,background,3,0
172,background,4,0
173,background,5,0
174,background,0,0
175,background,1,1
176,background,2,0
177,background,3,0
178,background,4,0
179,background,5,0
180,background,0,0
181,background,1,1
182,background,2,0
183,background,3,0
184,methodology,0,0
185,methodology,1,2
186,methodology,2,1
187,methodology,3,0
188,methodology,4,1
189,methodology,5,0
190,methodology,6,0
191,methodology,0,0
192,methodology,1,2
193,methodology,2,1
194,methodology,3,0
195,methodology,4,1
196,methodology,5,0
197,methodology,6,0
198,methodology,0,0
199,methodology,1,2
200,methodology,2,1
201,methodology,3,0
202,methodology,4,1
203,methodology,5,0
204,methodology,6,0
205,methodology,0,0
206,methodology,1,2
207,methodology,2,1
208,methodology,3,0
209,methodology,4,1
210,methodology,5,0
211,methodology,6,0
212,methodology,0,0
213,methodology,1,2
214,methodology,2,1
215,methodology,3,0
216,methodology,4,1
217,methodology,5,0
218,methodology,6,0
219,methodology,0,0
220,methodology,1,2
221,methodology,2,1
222,methodology,3,0
223,methodology,4,1
224,methodology,5,0
225,methodology,6,0
226,methodology,0,0
227,methodology,1,2
228,methodology,2,1
229,methodology,3,0
230,findings,0,0
231,findings,1,0
232,findings,2,0
233,findings,3,0
234,findings,4,0
235,findings,5,0
236,findings,6,0
237,findings,7,0
238,findings,8,0
239,findings,9,0
240,findings,10,0
241,findings,11,0
242,findings,12,0
243,findings,13,0
244,findings,14,0
245,findings,15,0
246,findings,16,0
247,findings,17,0
248,findings,18,0
249,findings,19,0
250,findings,20,0
251,findings,21,0
252,findings,22,0
253,findings,23,0
254,findings,24,0
255,findings,25,0
256,findings,26,0
257,findings,27,0
258,findings,28,0
259,findings,29,0
260,findings,30,0
261,findings,31,0
262,findings,32,0
263,findings,33,0
264,findings,34,0
265,findings,35,1
266,findings,36,0
267,findings,37,0
268,findings,38,0
269,findings,39,0
270,findings,40,0
271,findings,41,0
272,findings,42,0
273,findings,43,0
274,findings,44,0
275,findings,45,0
276,discussion,0,0
277,discussion,1,0
278,discussion,2,0
279,discussion,3,0
280,discussion,4,0
281,discussion,5,1
282,discussion,6,1
283,discussion,7,0
284,discussion,8,1
285,discussion,0,0
286,discussion,1,0
287,discussion,2,0
288,discussion,3,0
289,discussion,4,0
290,discussion,5,1
291,discussion,6,1
292,discussion,7,0
