,Section,Paragraph,algo_score_raw
0,abstract,0,5
1,abstract,0,5
2,abstract,0,5
3,abstract,0,5
4,abstract,0,5
5,abstract,0,5
6,abstract,0,5
7,abstract,0,5
8,abstract,0,5
9,abstract,0,5
10,abstract,0,5
11,abstract,0,5
12,abstract,0,5
13,abstract,0,5
14,abstract,0,5
15,abstract,0,5
16,abstract,0,5
17,abstract,0,5
18,abstract,0,5
19,abstract,0,5
20,abstract,0,5
21,abstract,0,5
22,abstract,0,5
23,abstract,0,5
24,abstract,0,5
25,abstract,0,5
26,abstract,0,5
27,abstract,0,5
28,abstract,0,5
29,abstract,0,5
30,abstract,0,5
31,abstract,0,5
32,abstract,0,5
33,abstract,0,5
34,abstract,0,5
35,abstract,0,5
36,abstract,0,5
37,abstract,0,5
38,abstract,0,5
39,abstract,0,5
40,abstract,0,5
41,abstract,0,5
42,abstract,0,5
43,abstract,0,5
44,abstract,0,5
45,abstract,0,5
46,introduction,0,0
47,introduction,1,1
48,introduction,2,2
49,introduction,3,2
50,introduction,4,3
51,introduction,0,0
52,introduction,1,1
53,introduction,2,2
54,introduction,3,2
55,introduction,4,3
56,introduction,0,0
57,introduction,1,1
58,introduction,2,2
59,introduction,3,2
60,introduction,4,3
61,introduction,0,0
62,introduction,1,1
63,introduction,2,2
64,introduction,3,2
65,introduction,4,3
66,introduction,0,0
67,introduction,1,1
68,introduction,2,2
69,introduction,3,2
70,introduction,4,3
71,introduction,0,0
72,introduction,1,1
73,introduction,2,2
74,introduction,3,2
75,introduction,4,3
76,introduction,0,0
77,introduction,1,1
78,introduction,2,2
79,introduction,3,2
80,introduction,4,3
81,introduction,0,0
82,introduction,1,1
83,introduction,2,2
84,introduction,3,2
85,introduction,4,3
86,introduction,0,0
87,introduction,1,1
88,introduction,2,2
89,introduction,3,2
90,introduction,4,3
91,introduction,0,0
92,related_work,0,2
93,related_work,1,3
94,related_work,2,1
95,related_work,3,0
96,related_work,0,2
97,related_work,1,3
98,related_work,2,1
99,related_work,3,0
100,related_work,0,2
101,related_work,1,3
102,related_work,2,1
103,related_work,3,0
104,related_work,0,2
105,related_work,1,3
106,related_work,2,1
107,related_work,3,0
108,related_work,0,2
109,related_work,1,3
110,related_work,2,1
111,related_work,3,0
112,related_work,0,2
113,related_work,1,3
114,related_work,2,1
115,related_work,3,0
116,related_work,0,2
117,related_work,1,3
118,related_work,2,1
119,related_work,3,0
120,related_work,0,2
121,related_work,1,3
122,related_work,2,1
123,related_work,3,0
124,related_work,0,2
125,related_work,1,3
126,related_work,2,1
127,related_work,3,0
128,related_work,0,2
129,related_work,1,3
130,related_work,2,1
131,related_work,3,0
132,related_work,0,2
133,related_work,1,3
134,related_work,2,1
135,related_work,3,0
136,related_work,0,2
137,related_work,1,3
138,background,0,0
139,background,1,2
140,background,2,0
141,background,3,0
142,background,4,0
143,background,5,0
144,background,0,0
145,background,1,2
146,background,2,0
147,background,3,0
148,background,4,0
149,background,5,0
150,background,0,0
151,background,1,2
152,background,2,0
153,background,3,0
154,background,4,0
155,background,5,0
156,background,0,0
157,background,1,2
158,background,2,0
159,background,3,0
160,background,4,0
161,background,5,0
162,background,0,0
163,background,1,2
164,background,2,0
165,background,3,0
166,background,4,0
167,background,5,0
168,background,0,0
169,background,1,2
170,background,2,0
171,background,3,0
172,background,4,0
173,background,5,0
174,background,0,0
175,background,1,2
176,background,2,0
177,background,3,0
178,background,4,0
179,background,5,0
180,background,0,0
181,background,1,2
182,background,2,0
183,background,3,0
184,methodology,0,1
185,methodology,1,2
186,methodology,2,1
187,methodology,3,0
188,methodology,4,1
189,methodology,5,1
190,methodology,6,0
191,methodology,0,1
192,methodology,1,2
193,methodology,2,1
194,methodology,3,0
195,methodology,4,1
196,methodology,5,1
197,methodology,6,0
198,methodology,0,1
199,methodology,1,2
200,methodology,2,1
201,methodology,3,0
202,methodology,4,1
203,methodology,5,1
204,methodology,6,0
205,methodology,0,1
206,methodology,1,2
207,methodology,2,1
208,methodology,3,0
209,methodology,4,1
210,methodology,5,1
211,methodology,6,0
212,methodology,0,1
213,methodology,1,2
214,methodology,2,1
215,methodology,3,0
216,methodology,4,1
217,methodology,5,1
218,methodology,6,0
219,methodology,0,1
220,methodology,1,2
221,methodology,2,1
222,methodology,3,0
223,methodology,4,1
224,methodology,5,1
225,methodology,6,0
226,methodology,0,1
227,methodology,1,2
228,methodology,2,1
229,methodology,3,0
230,findings,0,1
231,findings,1,0
232,findings,2,1
233,findings,3,0
234,findings,4,0
235,findings,5,0
236,findings,6,0
237,findings,7,0
238,findings,8,0
239,findings,9,0
240,findings,10,0
241,findings,11,0
242,findings,12,0
243,findings,13,0
244,findings,14,0
245,findings,15,0
246,findings,16,0
247,findings,17,0
248,findings,18,1
249,findings,19,0
250,findings,20,0
251,findings,21,0
252,findings,22,0
253,findings,23,0
254,findings,24,0
255,findings,25,0
256,findings,26,0
257,findings,27,0
258,findings,28,0
259,findings,29,0
260,findings,30,0
261,findings,31,0
262,findings,32,0
263,findings,33,0
264,findings,34,1
265,findings,35,2
266,findings,36,0
267,findings,37,0
268,findings,38,0
269,findings,39,0
270,findings,40,0
271,findings,41,0
272,findings,42,0
273,findings,43,0
274,findings,44,0
275,findings,45,0
276,discussion,0,1
277,discussion,1,0
278,discussion,2,2
279,discussion,3,0
280,discussion,4,0
281,discussion,5,3
282,discussion,6,2
283,discussion,7,3
284,discussion,8,1
285,discussion,0,1
286,discussion,1,0
287,discussion,2,2
288,discussion,3,0
289,discussion,4,0
290,discussion,5,3
291,discussion,6,2
292,discussion,7,3
293,discussion,8,1
294,discussion,0,1
295,discussion,1,0
296,discussion,2,2
297,discussion,3,0
298,discussion,4,0
299,discussion,5,3
300,discussion,6,2
301,discussion,7,3
302,discussion,8,1
303,discussion,0,1
304,discussion,1,0
305,discussion,2,2
306,discussion,3,0
307,discussion,4,0
308,discussion,5,3
309,discussion,6,2
310,discussion,7,3
311,discussion,8,1
312,discussion,0,1
313,discussion,1,0
314,discussion,2,2
315,discussion,3,0
316,discussion,4,0
317,discussion,5,3
318,discussion,6,2
319,discussion,7,3
320,discussion,8,1
321,discussion,0,1
322,conclusion,0,2
323,conclusion,1,1
324,conclusion,0,2
325,conclusion,1,1
326,conclusion,0,2
327,conclusion,1,1
328,conclusion,0,2
329,conclusion,1,1
330,conclusion,0,2
331,conclusion,1,1
332,conclusion,0,2
333,conclusion,1,1
334,conclusion,0,2
335,conclusion,1,1
336,conclusion,0,2
337,conclusion,1,1
338,conclusion,0,2
339,conclusion,1,1
340,conclusion,0,2
341,conclusion,1,1
342,conclusion,0,2
343,conclusion,1,1
344,conclusion,0,2
345,conclusion,1,1
346,conclusion,0,2
347,conclusion,1,1
348,conclusion,0,2
349,conclusion,1,1
350,conclusion,0,2
351,conclusion,1,1
352,conclusion,0,2
353,conclusion,1,1
354,conclusion,0,2
355,conclusion,1,1
356,conclusion,0,2
357,conclusion,1,1
358,conclusion,0,2
359,conclusion,1,1
360,conclusion,0,2
361,conclusion,1,1
362,conclusion,0,2
363,conclusion,1,1
364,conclusion,0,2
365,conclusion,1,1
366,conclusion,0,2
367,conclusion,1,1
