,Section,Paragraph,algo_score_raw
0,abstract,0,0
1,abstract,0,0
2,abstract,0,0
3,abstract,0,0
4,abstract,0,0
5,abstract,0,0
6,abstract,0,0
7,abstract,0,0
8,abstract,0,0
9,abstract,0,0
10,abstract,0,0
11,abstract,0,0
12,abstract,0,0
13,abstract,0,0
14,abstract,0,0
15,abstract,0,0
16,abstract,0,0
17,abstract,0,0
18,abstract,0,0
19,abstract,0,0
20,abstract,0,0
21,abstract,0,0
22,abstract,0,0
23,abstract,0,0
24,abstract,0,0
25,abstract,0,0
26,abstract,0,0
27,abstract,0,0
28,abstract,0,0
29,abstract,0,0
30,abstract,0,0
31,abstract,0,0
32,abstract,0,0
33,abstract,0,0
34,abstract,0,0
35,abstract,0,0
36,abstract,0,0
37,abstract,0,0
38,abstract,0,0
39,abstract,0,0
40,abstract,0,0
41,abstract,0,0
42,abstract,0,0
43,abstract,0,0
44,abstract,0,0
45,abstract,0,0
46,introduction,0,2
47,introduction,1,4
48,introduction,2,2
49,introduction,3,2
50,introduction,4,3
51,introduction,0,2
52,introduction,1,4
53,introduction,2,2
54,introduction,3,2
55,introduction,4,3
56,introduction,0,2
57,introduction,1,4
58,introduction,2,2
59,introduction,3,2
60,introduction,4,3
61,introduction,0,2
62,introduction,1,4
63,introduction,2,2
64,introduction,3,2
65,introduction,4,3
66,introduction,0,2
67,introduction,1,4
68,introduction,2,2
69,introduction,3,2
70,introduction,4,3
71,introduction,0,2
72,introduction,1,4
73,introduction,2,2
74,introduction,3,2
75,introduction,4,3
76,introduction,0,2
77,introduction,1,4
78,introduction,2,2
79,introduction,3,2
80,introduction,4,3
81,introduction,0,2
82,introduction,1,4
83,introduction,2,2
84,introduction,3,2
85,introduction,4,3
86,introduction,0,2
87,introduction,1,4
88,introduction,2,2
89,introduction,3,2
90,introduction,4,3
91,introduction,0,2
92,related_work,0,2
93,related_work,1,3
94,related_work,2,1
95,related_work,3,4
96,related_work,0,2
97,related_work,1,3
98,related_work,2,1
99,related_work,3,4
100,related_work,0,2
101,related_work,1,3
102,related_work,2,1
103,related_work,3,4
104,related_work,0,2
105,related_work,1,3
106,related_work,2,1
107,related_work,3,4
108,related_work,0,2
109,related_work,1,3
110,related_work,2,1
111,related_work,3,4
112,related_work,0,2
113,related_work,1,3
114,related_work,2,1
115,related_work,3,4
116,related_work,0,2
117,related_work,1,3
118,related_work,2,1
119,related_work,3,4
120,related_work,0,2
121,related_work,1,3
122,related_work,2,1
123,related_work,3,4
124,related_work,0,2
125,related_work,1,3
126,related_work,2,1
127,related_work,3,4
128,related_work,0,2
129,related_work,1,3
130,related_work,2,1
131,related_work,3,4
132,related_work,0,2
133,related_work,1,3
134,related_work,2,1
135,related_work,3,4
136,related_work,0,2
137,related_work,1,3
138,background,0,0
139,background,1,0
140,background,2,0
141,background,3,0
142,background,4,0
143,background,5,0
144,background,0,0
145,background,1,0
146,background,2,0
147,background,3,0
148,background,4,0
149,background,5,0
150,background,0,0
151,background,1,0
152,background,2,0
153,background,3,0
154,background,4,0
155,background,5,0
156,background,0,0
157,background,1,0
158,background,2,0
159,background,3,0
160,background,4,0
161,background,5,0
162,background,0,0
163,background,1,0
164,background,2,0
165,background,3,0
166,background,4,0
167,background,5,0
168,background,0,0
169,background,1,0
170,background,2,0
171,background,3,0
172,background,4,0
173,background,5,0
174,background,0,0
175,background,1,0
176,background,2,0
177,background,3,0
178,background,4,0
179,background,5,0
180,background,0,0
181,background,1,0
182,background,2,0
183,background,3,0
184,methodology,0,0
185,methodology,1,0
186,methodology,2,0
187,methodology,3,3
188,methodology,4,0
189,methodology,5,2
190,methodology,6,0
191,methodology,0,0
192,methodology,1,0
193,methodology,2,0
194,methodology,3,3
195,methodology,4,0
196,methodology,5,2
197,methodology,6,0
198,methodology,0,0
199,methodology,1,0
200,methodology,2,0
201,methodology,3,3
202,methodology,4,0
203,methodology,5,2
204,methodology,6,0
205,methodology,0,0
206,methodology,1,0
207,methodology,2,0
208,methodology,3,3
209,methodology,4,0
210,methodology,5,2
211,methodology,6,0
212,methodology,0,0
213,methodology,1,0
214,methodology,2,0
215,methodology,3,3
216,methodology,4,0
217,methodology,5,2
218,methodology,6,0
219,methodology,0,0
220,methodology,1,0
221,methodology,2,0
222,methodology,3,3
223,methodology,4,0
224,methodology,5,2
