,Section,Paragraph,algo_score_raw
0,abstract,0,0
1,abstract,0,0
2,abstract,0,0
3,abstract,0,0
4,abstract,0,0
5,abstract,0,0
6,abstract,0,0
7,abstract,0,0
8,abstract,0,0
9,abstract,0,0
10,abstract,0,0
11,abstract,0,0
12,abstract,0,0
13,abstract,0,0
14,abstract,0,0
15,abstract,0,0
16,abstract,0,0
17,abstract,0,0
18,abstract,0,0
19,abstract,0,0
20,abstract,0,0
21,abstract,0,0
22,abstract,0,0
23,abstract,0,0
24,abstract,0,0
25,abstract,0,0
26,abstract,0,0
27,abstract,0,0
28,abstract,0,0
29,abstract,0,0
30,abstract,0,0
31,abstract,0,0
32,abstract,0,0
33,abstract,0,0
34,abstract,0,0
35,abstract,0,0
36,abstract,0,0
37,abstract,0,0
38,abstract,0,0
39,abstract,0,0
40,abstract,0,0
41,abstract,0,0
42,abstract,0,0
43,abstract,0,0
44,abstract,0,0
45,abstract,0,0
46,introduction,0,0
47,introduction,1,0
48,introduction,2,0
49,introduction,3,0
50,introduction,4,0
51,introduction,0,0
52,introduction,1,0
53,introduction,2,0
54,introduction,3,0
55,introduction,4,0
56,introduction,0,0
57,introduction,1,0
58,introduction,2,0
59,introduction,3,0
60,introduction,4,0
61,introduction,0,0
62,introduction,1,0
63,introduction,2,0
64,introduction,3,0
65,introduction,4,0
66,introduction,0,0
67,introduction,1,0
68,introduction,2,0
69,introduction,3,0
70,introduction,4,0
71,introduction,0,0
72,introduction,1,0
73,introduction,2,0
74,introduction,3,0
75,introduction,4,0
76,introduction,0,0
77,introduction,1,0
78,introduction,2,0
79,introduction,3,0
80,introduction,4,0
81,introduction,0,0
82,introduction,1,0
83,introduction,2,0
84,introduction,3,0
85,introduction,4,0
86,introduction,0,0
87,introduction,1,0
88,introduction,2,0
89,introduction,3,0
90,introduction,4,0
91,introduction,0,0
92,related_work,0,0
93,related_work,1,0
94,related_work,2,0
95,related_work,3,0
96,related_work,0,0
97,related_work,1,0
98,related_work,2,0
99,related_work,3,0
100,related_work,0,0
101,related_work,1,0
102,related_work,2,0
103,related_work,3,0
104,related_work,0,0
105,related_work,1,0
106,related_work,2,0
107,related_work,3,0
108,related_work,0,0
109,related_work,1,0
110,related_work,2,0
111,related_work,3,0
112,related_work,0,0
113,related_work,1,0
114,related_work,2,0
115,related_work,3,0
116,related_work,0,0
117,related_work,1,0
118,related_work,2,0
119,related_work,3,0
120,related_work,0,0
121,related_work,1,0
122,related_work,2,0
123,related_work,3,0
124,related_work,0,0
125,related_work,1,0
126,related_work,2,0
127,related_work,3,0
128,related_work,0,0
129,related_work,1,0
130,related_work,2,0
131,related_work,3,0
132,related_work,0,0
133,related_work,1,0
134,related_work,2,0
135,related_work,3,0
136,related_work,0,0
137,related_work,1,0
138,background,0,0
139,background,1,0
140,background,2,0
141,background,3,0
142,background,4,0
143,background,5,0
144,background,0,0
145,background,1,0
146,background,2,0
147,background,3,0
148,background,4,0
149,background,5,0
150,background,0,0
151,background,1,0
152,background,2,0
153,background,3,0
154,background,4,0
155,background,5,0
156,background,0,0
157,background,1,0
158,background,2,0
159,background,3,0
160,background,4,0
161,background,5,0
162,background,0,0
163,background,1,0
164,background,2,0
165,background,3,0
166,background,4,0
167,background,5,0
168,background,0,0
169,background,1,0
170,background,2,0
171,background,3,0
172,background,4,0
173,background,5,0
174,background,0,0
175,background,1,0
176,background,2,0
177,background,3,0
178,background,4,0
179,background,5,0
180,background,0,0
181,background,1,0
182,background,2,0
183,background,3,0
184,methodology,0,0
185,methodology,1,0
186,methodology,2,0
187,methodology,3,0
188,methodology,4,0
189,methodology,5,0
190,methodology,6,0
191,methodology,0,0
192,methodology,1,0
193,methodology,2,0
194,methodology,3,0
195,methodology,4,0
196,methodology,5,0
197,methodology,6,0
198,methodology,0,0
199,methodology,1,0
200,methodology,2,0
201,methodology,3,0
202,methodology,4,0
203,methodology,5,0
204,methodology,6,0
205,methodology,0,0
206,methodology,1,0
207,methodology,2,0
208,methodology,3,0
209,methodology,4,0
210,methodology,5,0
211,methodology,6,0
212,methodology,0,0
213,methodology,1,0
214,methodology,2,0
215,methodology,3,0
216,methodology,4,0
217,methodology,5,0
218,methodology,6,0
219,methodology,0,0
220,methodology,1,0
221,methodology,2,0
222,methodology,3,0
223,methodology,4,0
224,methodology,5,0
