,Section,Paragraph,algo_score_raw
0,abstract,0,1006
1,abstract,0,1006
2,abstract,0,1006
3,abstract,0,1006
4,abstract,0,1006
5,abstract,0,1006
6,abstract,0,1006
7,abstract,0,1006
8,abstract,0,1006
9,abstract,0,1006
10,abstract,0,1006
11,abstract,0,1006
12,abstract,0,1006
13,abstract,0,1006
14,abstract,0,1006
15,abstract,0,1006
16,abstract,0,1006
17,abstract,0,1006
18,abstract,0,1006
19,abstract,0,1006
20,abstract,0,1006
21,abstract,0,1006
22,abstract,0,1006
23,abstract,0,1006
24,abstract,0,1006
25,abstract,0,1006
26,abstract,0,1006
27,abstract,0,1006
28,abstract,0,1006
29,abstract,0,1006
30,abstract,0,1006
31,abstract,0,1006
32,abstract,0,1006
33,abstract,0,1006
34,abstract,0,1006
35,abstract,0,1006
36,abstract,0,1006
37,abstract,0,1006
38,abstract,0,1006
39,abstract,0,1006
40,abstract,0,1006
41,abstract,0,1006
42,abstract,0,1006
43,abstract,0,1006
44,abstract,0,1006
45,abstract,0,1006
46,introduction,0,492
47,introduction,1,712
48,introduction,2,305
49,introduction,3,906
50,introduction,4,942
51,introduction,0,492
52,introduction,1,712
53,introduction,2,305
54,introduction,3,906
55,introduction,4,942
56,introduction,0,492
57,introduction,1,712
58,introduction,2,305
59,introduction,3,906
60,introduction,4,942
61,introduction,0,492
62,introduction,1,712
63,introduction,2,305
64,introduction,3,906
65,introduction,4,942
66,introduction,0,492
67,introduction,1,712
68,introduction,2,305
69,introduction,3,906
70,introduction,4,942
71,introduction,0,492
72,introduction,1,712
73,introduction,2,305
74,introduction,3,906
75,introduction,4,942
76,introduction,0,492
77,introduction,1,712
78,introduction,2,305
79,introduction,3,906
80,introduction,4,942
81,introduction,0,492
82,introduction,1,712
83,introduction,2,305
84,introduction,3,906
85,introduction,4,942
86,introduction,0,492
87,introduction,1,712
88,introduction,2,305
89,introduction,3,906
90,introduction,4,942
91,introduction,0,492
92,related_work,0,478
93,related_work,1,952
94,related_work,2,1350
95,related_work,3,1269
96,related_work,0,478
97,related_work,1,952
98,related_work,2,1350
99,related_work,3,1269
100,related_work,0,478
101,related_work,1,952
102,related_work,2,1350
103,related_work,3,1269
104,related_work,0,478
105,related_work,1,952
106,related_work,2,1350
107,related_work,3,1269
108,related_work,0,478
109,related_work,1,952
110,related_work,2,1350
111,related_work,3,1269
112,related_work,0,478
113,related_work,1,952
114,related_work,2,1350
115,related_work,3,1269
116,related_work,0,478
117,related_work,1,952
118,related_work,2,1350
119,related_work,3,1269
120,related_work,0,478
121,related_work,1,952
122,related_work,2,1350
123,related_work,3,1269
124,related_work,0,478
125,related_work,1,952
126,related_work,2,1350
127,related_work,3,1269
128,related_work,0,478
129,related_work,1,952
130,related_work,2,1350
131,related_work,3,1269
132,related_work,0,478
133,related_work,1,952
134,related_work,2,1350
135,related_work,3,1269
136,related_work,0,478
137,related_work,1,952
138,background,0,117
139,background,1,688
140,background,2,1715
141,background,3,472
142,background,4,543
143,background,5,275
144,background,0,117
145,background,1,688
146,background,2,1715
147,background,3,472
148,background,4,543
149,background,5,275
150,background,0,117
151,background,1,688
152,background,2,1715
153,background,3,472
154,background,4,543
155,background,5,275
156,background,0,117
157,background,1,688
158,background,2,1715
159,background,3,472
160,background,4,543
161,background,5,275
162,background,0,117
163,background,1,688
164,background,2,1715
165,background,3,472
166,background,4,543
167,background,5,275
168,background,0,117
169,background,1,688
170,background,2,1715
171,background,3,472
172,background,4,543
173,background,5,275
174,background,0,117
175,background,1,688
176,background,2,1715
177,background,3,472
178,background,4,543
179,background,5,275
180,background,0,117
181,background,1,688
182,background,2,1715
183,background,3,472
184,methodology,0,240
185,methodology,1,660
186,methodology,2,572
187,methodology,3,393
188,methodology,4,227
189,methodology,5,661
190,methodology,6,552
191,methodology,0,240
192,methodology,1,660
193,methodology,2,572
194,methodology,3,393
195,methodology,4,227
196,methodology,5,661
197,methodology,6,552
198,methodology,0,240
199,methodology,1,660
200,methodology,2,572
201,methodology,3,393
202,methodology,4,227
203,methodology,5,661
204,methodology,6,552
205,methodology,0,240
206,methodology,1,660
207,methodology,2,572
208,methodology,3,393
209,methodology,4,227
210,methodology,5,661
211,methodology,6,552
212,methodology,0,240
213,methodology,1,660
214,methodology,2,572
215,methodology,3,393
216,methodology,4,227
217,methodology,5,661
218,methodology,6,552
219,methodology,0,240
220,methodology,1,660
221,methodology,2,572
222,methodology,3,393
223,methodology,4,227
224,methodology,5,661
225,methodology,6,552
226,methodology,0,240
227,methodology,1,660
228,methodology,2,572
229,methodology,3,393
230,findings,0,474
231,findings,1,848
232,findings,2,696
233,findings,3,460
234,findings,4,594
235,findings,5,481
236,findings,6,1096
237,findings,7,409
238,findings,8,670
239,findings,9,1129
240,findings,10,655
241,findings,11,397
242,findings,12,774
243,findings,13,674
244,findings,14,354
245,findings,15,795
246,findings,16,538
247,findings,17,586
248,findings,18,1085
249,findings,19,769
250,findings,20,477
251,findings,21,570
252,findings,22,723
253,findings,23,220
254,findings,24,1157
255,findings,25,1112
256,findings,26,429
257,findings,27,949
258,findings,28,827
259,findings,29,482
260,findings,30,574
261,findings,31,487
262,findings,32,403
263,findings,33,293
264,findings,34,549
265,findings,35,1236
266,findings,36,824
