,Section,Paragraph,algo_score_raw
0,abstract,0,1
1,abstract,0,1
2,abstract,0,1
3,abstract,0,1
4,abstract,0,1
5,abstract,0,1
6,abstract,0,1
7,abstract,0,1
8,abstract,0,1
9,abstract,0,1
10,abstract,0,1
11,abstract,0,1
12,abstract,0,1
13,abstract,0,1
14,abstract,0,1
15,abstract,0,1
16,abstract,0,1
17,abstract,0,1
18,abstract,0,1
19,abstract,0,1
20,abstract,0,1
21,abstract,0,1
22,abstract,0,1
23,abstract,0,1
24,abstract,0,1
25,abstract,0,1
26,abstract,0,1
27,abstract,0,1
28,abstract,0,1
29,abstract,0,1
30,abstract,0,1
31,abstract,0,1
32,abstract,0,1
33,abstract,0,1
34,abstract,0,1
35,abstract,0,1
36,abstract,0,1
37,abstract,0,1
38,abstract,0,1
39,abstract,0,1
40,abstract,0,1
41,abstract,0,1
42,abstract,0,1
43,abstract,0,1
44,abstract,0,1
45,abstract,0,1
46,introduction,0,0
47,introduction,1,0
48,introduction,2,0
49,introduction,3,1
50,introduction,4,0
51,introduction,0,0
52,introduction,1,0
53,introduction,2,0
54,introduction,3,1
55,introduction,4,0
56,introduction,0,0
57,introduction,1,0
58,introduction,2,0
59,introduction,3,1
60,introduction,4,0
61,introduction,0,0
62,introduction,1,0
63,introduction,2,0
64,introduction,3,1
65,introduction,4,0
66,introduction,0,0
67,introduction,1,0
68,introduction,2,0
69,introduction,3,1
70,introduction,4,0
71,introduction,0,0
72,introduction,1,0
73,introduction,2,0
74,introduction,3,1
75,introduction,4,0
76,introduction,0,0
77,introduction,1,0
78,introduction,2,0
79,introduction,3,1
80,introduction,4,0
81,introduction,0,0
82,introduction,1,0
83,introduction,2,0
84,introduction,3,1
85,introduction,4,0
86,introduction,0,0
87,introduction,1,0
88,introduction,2,0
89,introduction,3,1
90,introduction,4,0
91,introduction,0,0
92,related_work,0,0
93,related_work,1,0
94,related_work,2,0
95,related_work,3,0
96,related_work,0,0
97,related_work,1,0
98,related_work,2,0
99,related_work,3,0
100,related_work,0,0
101,related_work,1,0
102,related_work,2,0
103,related_work,3,0
104,related_work,0,0
105,related_work,1,0
106,related_work,2,0
107,related_work,3,0
108,related_work,0,0
109,related_work,1,0
110,related_work,2,0
111,related_work,3,0
112,related_work,0,0
113,related_work,1,0
114,related_work,2,0
115,related_work,3,0
116,related_work,0,0
117,related_work,1,0
118,related_work,2,0
119,related_work,3,0
120,related_work,0,0
121,related_work,1,0
122,related_work,2,0
123,related_work,3,0
124,related_work,0,0
125,related_work,1,0
126,related_work,2,0
127,related_work,3,0
128,related_work,0,0
129,related_work,1,0
130,related_work,2,0
131,related_work,3,0
132,related_work,0,0
133,related_work,1,0
134,related_work,2,0
